STUDENT IDSTUDENT NAMECOURSE IDCOURSE NAMESEMESTERCREDITS[
, S101312,Alex Mike,COSC4030,Theory of Computation,2020C,5, 
, S102732,Mark Duong,COSC4030,Theory of Computation,2020C,5, 
, S103723,Hai Hoang Vu,BUS2232,Business Law,2020B,3, 
, S103821,Son Minh Doan,PHYS1230,Introductory Human Physiology,2021A,4, 
, S101163,Joseph Fergile,BUS2232,Business Law,2020C,3, 
, S101153,Jang Min Seon,COSC3321,Artificial Intelligence,2021A,3, 
, S103817,Thuy Thu Nguyen,COSC3321,Artificial Intelligence,2021A,3, 
, S103912,Son Thanh Le,BUS2232,Business Law,2020C,3, 
, S102192,Mark Patterson,PHYS1230,Introductory Human Physiology,2021A,4, 
, S103192,Ngan Thu Vo,BUS2232,Business Law,2020B,3, 
, S101312,Alex Mike,PHYS1230,Introductory Human Physiology,2021A,4, 
, S103817,Thuy Thu Nguyen,COSC4030,Theory of Computation,2020C,5, 
, S101163,Joseph Fergile,COSC3321,Artificial Intelligence,2021A,3, 
, S102732,Mark Duong,COSC3321,Artificial Intelligence,2021A,3, 
, S101312,Alex Mike,BUS2232,Business Law,2020C,3]
